,entity,score,index,word,start,end
187,I-ORG,0.8272272,9,Unternehmens,54,66
188,I-ORG,0.8208515,10,##verm,66,70
189,I-ORG,0.8331836,11,##itt,70,73
190,I-ORG,0.8284527,12,##lung,73,77
191,I-UN,0.6588493,13,mbH,78,81
192,B-UN,0.8253349,3,Gottfried,4,13
193,I-UN,0.78588617,4,Neu,14,17
194,I-UN,0.9442997,5,##haus,17,21
195,I-UN,0.9876336,6,Treuhand,22,30
196,I-UN,0.98969144,7,GmbH,31,35
197,B-UN,0.93483406,1,Mon,0,3
198,I-UN,0.56114256,2,##heimer,3,9
199,I-UN,0.9494903,3,Bier,10,14
200,I-UN,0.9018229,4,##man,14,17
201,I-UN,0.9178589,5,##uf,17,19
202,I-UN,0.9464494,6,##act,19,22
203,I-UN,0.95708936,7,##ur,22,24
204,I-UN,0.9847121,8,GmbH,25,29
205,B-UN,0.95282763,1,Pan,0,3
206,I-UN,0.91781986,2,##ason,3,7
207,I-UN,0.95746475,3,##ic,7,9
208,I-UN,0.9858666,4,Europe,10,16
209,I-UN,0.97997594,5,Ltd,17,20
210,B-ST,0.34470224,10,Deutschland,41,52
211,I-UN,0.6272368,11,Hamburg,53,60
212,I-UN,0.44836348,12,Office,61,67
213,B-UN,0.4400374,1,"""",0,1
214,B-UN,0.63389635,2,Rent,1,5
215,I-UN,0.9773093,3,##a,5,6
216,I-UN,0.9880363,4,Reederei,7,15
217,I-UN,0.98174864,5,"""",15,16
218,I-UN,0.98999715,6,GmbH,17,21
219,B-UN,0.9790789,1,Dur,0,3
220,I-UN,0.79452556,2,##a,3,4
221,I-UN,0.97191036,3,Autom,5,10
222,I-UN,0.97830474,4,##otiv,10,14
223,I-UN,0.98036367,5,##e,14,15
224,I-UN,0.9841546,6,Systems,16,23
225,I-UN,0.99139917,7,GmbH,24,28
226,B-UN,0.9812991,1,F,0,1
227,I-UN,0.8057069,2,##B,1,2
228,I-UN,0.99148643,3,t,3,4
229,I-UN,0.98928946,4,##rust,4,8
230,I-UN,0.9941619,5,GmbH,9,13
231,B-UN,0.92925256,1,Can,0,3
232,I-UN,0.9264078,2,Ko,4,6
233,I-UN,0.9690569,3,##i,6,7
234,I-UN,0.96207553,4,Ib,8,10
235,I-UN,0.9600071,5,##iza,10,13
236,I-UN,0.9863259,6,GmbH,14,18
237,I-UN,0.9631562,7,&,19,20
238,I-UN,0.925585,8,Co,21,23
239,I-UN,0.58887213,9,.,23,24
240,I-UN,0.9195033,10,KG,25,27
241,I-UN,0.52952003,4,Vermögens,9,18
242,I-UN,0.49728724,5,##beratung,18,26
243,I-UN,0.43067312,6,##s,26,27
244,I-UN,0.594739,7,-,27,28
245,I-UN,0.45312628,8,und,29,32
246,I-UN,0.35638812,9,Vermittlungs,33,45
247,I-UN,0.75995225,10,##gesellschaft,45,57
248,I-UN,0.83925015,11,mbH,58,61
249,B-UN,0.8712914,1,J,0,1
250,B-UN,0.79745275,2,##AN,1,3
251,I-UN,0.93767476,3,##T,3,4
252,I-UN,0.97378063,4,Express,5,12
253,I-UN,0.977004,5,-,12,13
254,I-UN,0.9844372,6,Logistik,13,21
255,I-UN,0.98238117,7,U,22,23
256,I-UN,0.9799039,8,##G,23,24
257,B-UN,0.89896023,1,S,0,1
258,I-UN,0.829689,2,##EA,1,3
259,I-UN,0.96987313,3,##BR,3,5
260,I-UN,0.9870625,4,##ID,5,7
261,I-UN,0.9830899,5,##G,7,8
262,I-UN,0.9895229,6,##E,8,9
263,I-UN,0.99070954,7,Transport,10,19
264,I-UN,0.99261355,8,GmbH,20,24
265,B-UN,0.6498691,3,O,13,14
266,I-UN,0.59096336,4,##wn,14,16
267,I-UN,0.7485909,5,##ers,16,19
268,I-UN,0.9014039,6,##hip,19,22
269,I-UN,0.94664633,7,Ton,23,26
270,I-UN,0.94915146,8,##na,26,28
271,I-UN,0.9488516,9,##ge,28,30
272,I-UN,0.9577155,10,VII,31,34
273,I-UN,0.9868976,11,GmbH,35,39
274,I-UN,0.97396,12,&,40,41
275,I-UN,0.96556216,13,Co,42,44
276,I-UN,0.9154372,14,.,44,45
277,I-UN,0.9783262,15,KG,46,48
278,B-UN,0.9124092,1,Ki,0,2
279,I-UN,0.8344477,2,##d,2,3
280,I-UN,0.9382881,3,##IN,3,5
281,I-UN,0.9617168,4,##V,5,6
282,I-UN,0.94815737,5,##ES,6,8
283,I-UN,0.97702104,6,##T,8,9
284,I-UN,0.98519856,7,GmbH,10,14
285,B-UN,0.63570476,1,N,0,1
286,B-UN,0.8048019,2,##X,1,2
287,I-UN,0.629027,3,##P,2,3
288,I-UN,0.9661213,4,Sem,4,7
289,I-UN,0.9780807,5,##icon,7,11
290,I-UN,0.97097504,6,##du,11,13
291,I-UN,0.9804097,7,##ctor,13,17
292,I-UN,0.98224556,8,##s,17,18
293,I-UN,0.9886783,9,Germany,19,26
294,I-UN,0.9917493,10,GmbH,27,31
295,B-UN,0.82185537,4,Marco,31,36
296,I-UN,0.90097183,5,Pol,37,40
297,I-UN,0.93087614,6,##o,40,41
298,I-UN,0.9651164,7,Tower,42,47
299,I-UN,0.9825104,8,GmbH,48,52
300,B-UN,0.9595452,1,Ecke,0,4
301,I-UN,0.7359969,2,##l,4,5
302,I-UN,0.96302265,3,##mann,5,9
303,I-UN,0.98666984,4,Umwelt,10,16
304,I-UN,0.99092215,5,Holding,17,24
305,I-UN,0.99285936,6,GmbH,25,29
306,B-UN,0.9266174,1,Fac,0,3
307,I-UN,0.67649126,2,##tor,3,6
308,I-UN,0.9233564,3,Design,7,13
309,I-UN,0.96472675,4,Verwaltungs,14,25
310,I-UN,0.98103666,5,GmbH,26,30
311,B-UN,0.8896035,1,L,0,1
312,I-UN,0.76627713,2,##U,1,2
313,I-UN,0.9839483,3,##IS,2,4
314,I-UN,0.99101114,4,##E,4,5
315,I-UN,0.9927355,5,Verwaltungs,6,17
316,I-UN,0.9931277,6,GmbH,18,22
317,B-UN,0.8986057,1,Schmidt,0,7
318,I-UN,0.9104795,2,##s,7,8
319,I-UN,0.95832986,3,Ti,9,11
320,I-UN,0.93322027,4,##vol,11,14
321,I-UN,0.9578162,5,##i,14,15
322,I-UN,0.961669,6,Gast,16,20
323,I-UN,0.9555283,7,##spiel,20,25
324,I-UN,0.975289,8,GmbH,26,30
325,B-UN,0.32739854,1,Verwaltung,0,10
326,I-UN,0.64650846,2,Schiff,11,17
327,I-UN,0.62079483,3,##ahrt,17,21
328,I-UN,0.49558946,4,##s,21,22
329,I-UN,0.6231908,5,-,22,23
330,I-UN,0.7176705,6,Gesellschaft,23,35
331,I-UN,0.61984473,7,"""",36,37
332,B-UN,0.76794505,8,H,37,38
333,B-UN,0.40493983,9,##AN,38,40
334,I-UN,0.9185362,10,##SA,40,42
335,I-UN,0.93868506,11,BR,43,45
336,I-UN,0.9232532,12,##AN,45,47
337,I-UN,0.92993355,13,##DE,47,49
338,I-UN,0.94985366,14,##N,49,50
339,I-UN,0.9544563,15,##B,50,51
340,I-UN,0.9267948,16,##UR,51,53
341,I-UN,0.9323492,17,##G,53,54
342,I-UN,0.9028625,18,"""",54,55
343,I-UN,0.93632764,19,mbH,56,59
344,B-UN,0.96757317,1,AM,0,2
345,I-UN,0.94478065,2,##B,2,3
346,I-UN,0.9882868,3,Trad,4,8
347,I-UN,0.9898571,4,##e,8,9
348,I-UN,0.9936091,5,GmbH,10,14
349,B-UN,0.60112613,2,Z,11,12
350,B-UN,0.812935,3,##EA,12,14
351,I-UN,0.6994379,4,##BO,14,16
352,I-UN,0.8618003,5,##R,16,17
353,I-UN,0.9423088,6,##N,17,18
354,I-UN,0.95920396,7,Sh,19,21
355,I-UN,0.96393836,8,##ip,21,23
356,I-UN,0.9718445,9,Management,24,34
357,I-UN,0.9825142,10,GmbH,35,39
358,B-UN,0.9519136,1,D,0,1
359,I-UN,0.70161635,2,##Z,1,2
360,I-UN,0.9847115,3,H,3,4
361,I-UN,0.9879337,4,##Y,4,5
362,I-UN,0.98987854,5,##P,5,6
363,I-UN,0.9916574,6,AG,7,9
364,B-UN,0.7816434,1,Z,0,1
365,B-UN,0.7207237,2,##A,1,2
366,I-UN,0.9452046,3,##EV,2,4
367,I-UN,0.9824556,4,##ER,4,6
368,I-UN,0.9851607,5,##S,6,7
369,I-UN,0.99003196,6,GmbH,8,12
370,B-UN,0.9284616,1,Auer,0,4
371,I-UN,0.8867423,2,##bach,4,8
372,I-UN,0.97868437,3,Trad,9,13
373,I-UN,0.97855544,4,##ing,13,16
374,I-UN,0.98497736,5,GmbH,17,21
375,B-UN,0.7889743,1,Po,0,2
376,I-UN,0.7177092,2,##ert,2,5
377,I-UN,0.75439006,3,##z,5,6
378,I-UN,0.8811999,4,##gen,6,9
379,I-UN,0.9548442,5,GmbH,10,14
380,I-UN,0.9081396,6,Unternehmens,15,27
381,I-UN,0.8483659,7,##beratung,27,35
382,B-UN,0.7766071,4,SC,3,5
383,I-UN,0.9565652,5,##I,5,6
384,I-UN,0.9745258,6,##EN,6,8
385,I-UN,0.9834751,7,##C,8,9
386,I-UN,0.9855797,8,##E,9,10
387,I-UN,0.9899872,9,GmbH,11,15
388,B-UN,0.79724365,2,MS,11,13
389,I-UN,0.7210596,3,"""",14,15
390,I-UN,0.54178673,4,H,15,16
391,I-UN,0.49961972,5,##A,16,17
392,I-UN,0.9453417,6,##M,17,18
393,I-UN,0.9558078,7,##M,18,19
394,I-UN,0.95039713,8,##ON,19,21
395,I-UN,0.97519934,9,##IA,21,23
396,I-UN,0.9736875,10,T,24,25
397,I-UN,0.9770932,11,##OS,25,27
398,I-UN,0.9727035,12,##CA,27,29
399,I-UN,0.9793521,13,##N,29,30
400,I-UN,0.98106754,14,##A,30,31
401,I-UN,0.9845197,15,"""",31,32
402,I-UN,0.9907217,16,GmbH,33,37
403,B-UN,0.45710555,1,C,0,1
404,B-UN,0.4160944,2,.,1,2
405,I-UN,0.32547647,3,Ga,3,5
406,I-UN,0.6266432,4,##th,5,7
407,I-UN,0.90745,5,##mann,7,11
408,I-UN,0.9478076,6,Computer,12,20
409,I-UN,0.9692342,7,-,20,21
410,I-UN,0.9728845,8,System,21,27
411,I-UN,0.964282,9,-,27,28
412,I-UN,0.97945845,10,Beratung,28,36
413,I-UN,0.9856521,11,GmbH,37,41
414,B-UN,0.95546466,1,O,0,1
415,I-UN,0.7723113,2,##jo,1,3
416,I-UN,0.95323086,3,##oo,3,5
417,I-UN,0.97822297,4,Vo,6,8
418,I-UN,0.9864798,5,GmbH,9,13
419,B-UN,0.56281906,1,Ale,0,3
420,B-UN,0.4453391,2,##ss,3,5
421,I-MRK,0.4114484,3,##io,5,7
422,I-UN,0.7481266,4,Analy,8,13
423,I-UN,0.6864065,5,##ti,13,15
424,I-UN,0.7835518,6,##cs,15,17
425,I-UN,0.83377135,7,U,18,19
426,I-UN,0.8540746,8,##G,19,20
427,B-UN,0.949368,1,S,0,1
428,I-UN,0.84631395,2,##M,1,2
429,I-UN,0.9702546,3,##K,2,3
430,I-UN,0.97909456,4,Verwertung,4,14
431,I-UN,0.96729803,5,##s,14,15
432,I-UN,0.9788953,6,##gesellschaft,15,27
433,I-UN,0.9804724,7,mbH,28,31
434,B-UN,0.94453245,1,Bei,0,3
435,I-UN,0.8950923,2,##ersdorf,3,10
436,I-UN,0.97185725,3,Aktien,11,17
437,I-UN,0.949247,4,##gesellschaft,17,29
438,B-UN,0.89030313,1,AG,0,2
439,I-UN,0.55178106,2,##AR,2,4
440,I-UN,0.9685637,3,##BA,4,6
441,I-UN,0.98122406,4,Grundstücks,7,18
442,I-UN,0.9739605,5,-,18,19
443,I-UN,0.96786803,6,Vermietung,19,29
444,I-UN,0.9628511,7,##s,29,30
445,I-UN,0.97591746,8,##gesellschaft,30,42
446,I-UN,0.9805747,9,mbH,43,46
447,B-UN,0.86338127,1,Baum,0,4
448,I-UN,0.67335117,2,##arkt,4,8
449,I-UN,0.86967754,3,Max,9,12
450,I-UN,0.9653799,4,Bahr,13,17
451,I-UN,0.9714642,5,Prakt,18,23
452,I-UN,0.9779879,6,##iker,23,27
453,I-UN,0.98467445,7,Einkaufs,28,36
454,I-UN,0.9871066,8,GmbH,37,41
455,B-UN,0.85611373,1,Victoria,0,8
456,I-UN,0.9736372,2,Lebens,9,15
457,I-UN,0.9701651,3,##versicherung,15,27
458,I-UN,0.9781789,4,Aktien,28,34
459,I-UN,0.9710052,5,##gesellschaft,34,46
460,B-UN,0.9728232,1,Lu,0,2
461,I-UN,0.66760844,2,##Ma,2,4
462,I-UN,0.9795704,3,Projekten,5,14
463,I-UN,0.9734701,4,##t,14,15
464,I-UN,0.97378063,5,##wicklung,15,23
465,I-UN,0.97145396,6,##s,23,24
466,I-UN,0.97052693,7,-,24,25
467,I-UN,0.98698086,8,GmbH,25,29
468,B-UN,0.8963995,1,Amb,0,3
469,I-UN,0.8814784,2,##er,3,5
470,I-UN,0.96694106,3,Sh,6,8
471,I-UN,0.9691134,4,##ippi,8,12
472,I-UN,0.9613265,5,##n,12,13
473,I-UN,0.9764741,6,##g,13,14
474,I-UN,0.97666603,7,U,15,16
475,I-UN,0.97883064,8,##G,16,17
476,B-UN,0.89878285,1,R,0,1
477,B-UN,0.751476,2,##ED,1,3
478,I-UN,0.5500476,3,##EV,3,5
479,I-UN,0.8483079,4,##C,5,6
480,I-UN,0.94711316,5,##O,6,7
481,I-UN,0.9796199,6,Log,8,11
482,I-UN,0.98160756,7,##ist,11,14
483,I-UN,0.98054,8,##ics,14,17
484,I-UN,0.97690773,9,Gü,18,20
485,I-UN,0.9683538,10,##d,20,21
486,I-UN,0.9802601,11,##der,21,24
487,I-UN,0.9880497,12,##ath,24,27
488,I-UN,0.9926214,13,GmbH,28,32
489,I-UN,0.99042106,14,&,33,34
490,I-UN,0.9868859,15,Co,35,37
491,I-UN,0.9830525,16,.,37,38
492,I-UN,0.99084175,17,O,39,40
493,I-UN,0.98551905,18,##HG,40,42
494,B-UN,0.82958186,3,MS,12,14
495,I-UN,0.81765985,4,Sophie,15,21
496,I-UN,0.9069496,5,"""",21,22
497,I-UN,0.90774846,6,Schiff,23,29
498,I-UN,0.8183401,7,##fahrts,29,35
499,I-UN,0.87186456,8,##gesellschaft,35,47
500,I-UN,0.9150822,9,mbH,48,51
501,B-UN,0.7961457,1,AL,0,2
502,I-UN,0.8266818,2,Am,3,5
503,I-UN,0.87497485,3,##an,5,7
504,I-UN,0.9434376,4,Engine,8,14
505,I-UN,0.9514327,5,##ering,14,19
506,I-UN,0.9503456,6,and,20,23
507,I-UN,0.94245994,7,Trad,24,28
508,I-UN,0.9459688,8,##ing,28,31
509,I-UN,0.93516535,9,U,32,33
510,I-UN,0.9557159,10,##G,33,34
511,I-UN,0.62673587,1,Verwaltungs,0,11
512,I-UN,0.9101149,2,##gesellschaft,11,23
513,I-UN,0.94365776,3,MS,24,26
514,I-UN,0.97749454,4,"""",27,28
515,I-UN,0.93789154,5,Bar,28,31
516,I-UN,0.9462473,6,##mb,31,33
517,I-UN,0.9240117,7,##ek,33,35
518,I-UN,0.96752465,8,"""",35,36
519,I-UN,0.9827822,9,mbH,37,40
520,B-ORG,0.82619447,1,Nä,0,2
521,I-ORG,0.8361727,2,##r,2,3
522,I-ORG,0.8755788,3,##rische,3,9
523,I-ORG,0.9505352,4,Frauen,10,16
524,I-ORG,0.92248416,5,Himmel,17,23
525,I-ORG,0.9386361,6,##geist,23,28
526,I-ORG,0.940997,7,e,29,30
527,I-ORG,0.8618779,8,.,30,31
528,I-ORG,0.9410657,9,V,31,32
529,B-UN,0.8089186,1,MS,0,2
530,I-UN,0.5564846,2,"""",3,4
531,I-UN,0.51399326,3,Fa,4,6
532,I-UN,0.56863004,4,##vo,6,8
533,I-UN,0.6251725,5,##uri,8,11
534,I-UN,0.58715373,6,##sa,11,13
535,I-UN,0.7579818,7,##ti,13,15
536,I-UN,0.7600086,8,##on,15,17
537,I-UN,0.7799725,9,"""",17,18
538,I-UN,0.6165088,10,Verwaltung,19,29
539,I-UN,0.9440489,11,GmbH,30,34
540,B-UN,0.98216957,1,Wünsche,0,7
541,I-UN,0.98428345,2,Services,8,16
542,I-UN,0.9907669,3,GmbH,17,21
543,B-UN,0.96929425,1,Mer,0,3
544,I-UN,0.8583527,2,##ica,3,6
545,I-UN,0.9822916,3,Capital,7,14
546,I-UN,0.9885872,4,GmbH,15,19
547,B-RR,0.49100718,1,Kr,0,2
548,I-UN,0.37823433,2,##öger,2,6
549,I-UN,0.9530417,3,Bau,7,10
550,I-UN,0.95421314,4,##geräte,10,16
551,I-UN,0.9641783,5,Service,17,24
552,I-UN,0.97762626,6,GmbH,25,29
553,B-UN,0.90183717,1,Acht,0,4
554,I-UN,0.6153328,2,##e,4,5
555,I-UN,0.8866776,3,dis,6,9
556,I-UN,0.88213676,4,##play,9,13
557,I-UN,0.94512224,5,system,14,20
558,I-UN,0.9774843,6,GmbH,21,25
559,B-UN,0.9486561,1,Atlantik,0,8
560,I-UN,0.9754208,2,Hafen,9,14
561,I-UN,0.9804395,3,##betriebe,14,22
562,I-UN,0.91389596,4,Ge,23,25
563,I-UN,0.96968406,5,##uther,25,30
564,I-UN,0.9810558,6,&,31,32
565,I-UN,0.96118075,7,Schn,33,37
566,I-UN,0.94537425,8,##it,37,39
567,I-UN,0.9755672,9,##ger,39,42
568,I-UN,0.98880696,10,GmbH,43,47
569,I-UN,0.9860286,11,&,48,49
570,I-UN,0.98078454,12,Co,50,52
571,I-UN,0.95372194,13,.,52,53
572,I-UN,0.98584056,14,KG,54,56
573,B-UN,0.9749146,1,T,0,1
574,I-UN,0.9633658,2,##T,1,2
575,I-UN,0.98954636,3,Trad,3,7
576,I-UN,0.9896622,4,##ing,7,10
577,I-UN,0.9929798,5,GmbH,11,15
578,B-UN,0.92703396,1,AV,0,2
579,I-UN,0.9486416,2,##AS,2,4
580,I-UN,0.97802573,3,##PA,4,6
581,I-UN,0.9773676,4,Bremen,7,13
582,I-UN,0.9753479,5,Vermietung,14,24
583,I-UN,0.95011103,6,##s,24,25
584,I-UN,0.975752,7,##gesellschaft,25,37
585,I-UN,0.9778501,8,mbH,38,41
586,B-UN,0.87407726,1,T,0,1
587,B-UN,0.46342143,2,##O,1,2
588,I-UN,0.76639265,3,##L,2,3
589,I-UN,0.67348474,4,Time,4,8
590,I-UN,0.84710544,5,of,9,11
591,I-UN,0.89650846,6,Lux,12,15
592,I-UN,0.9221192,7,##ury,15,18
593,I-UN,0.9550774,8,GmbH,19,23
594,B-UN,0.74350375,1,Mut,0,3
595,B-UN,0.46134466,2,##abor,3,7
596,I-UN,0.7764517,3,Brand,8,13
597,I-UN,0.8376193,4,##sp,13,15
598,I-UN,0.90596205,5,##ace,15,18
599,I-UN,0.95811564,6,##s,18,19
600,I-UN,0.9699433,7,GmbH,20,24
601,B-UN,0.6538642,1,Gebäude,0,7
602,I-UN,0.9370999,2,##rein,7,11
603,I-UN,0.93098474,3,##igung,11,16
604,I-UN,0.90264195,4,Wolff,17,22
605,I-UN,0.98940545,5,GmbH,23,27
606,B-PER,0.54483676,1,He,0,2
607,I-PER,0.52123576,2,:,2,3
608,I-PER,0.7519806,3,Lee,3,6
